Year,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1758,13,15,14,5,5,5,2,4,7,13,9,11
1759,11,10,7,4,3,6,11,5,11,15,10,13
1760,19,15,18,5,13,6,10,9,13,14,8,13
1761,14,16,14,9,9,11,10,10,12,14,15,20
1762,13,12,12,8,5,3,8,10,6,10,10,9
1763,8,19,12,4,11,10,7,12,16,16,16,9
1764,16,13,16,8,7,3,2,6,10,10,13,19
1765,13,18,9,15,8,5,4,10,15,16,15,16
1766,13,20,17,7,5,5,7,11,12,9,8,9
1767,13,4,9,7,4,5,8,7,17,18,19,17
1768,15,5,10,14,5,6,8,8,8,13,9,16
1769,10,13,11,7,6,7,9,10,9,17,11,19
1770,12,8,17,9,4,9,9,14,15,9,13,22
1771,18,13,14,19,10,9,7,6,13,7,15,12
1772,9,10,12,12,11,4,11,8,15,11,9,11
1773,18,8,10,11,12,4,8,8,8,12,12,9
1774,22,13,14,13,16,14,10,16,18,10,16,20
1775,17,20,16,13,16,7,10,7,8,12,11,13
1776,13,17,9,9,6,3,6,3,9,10,22,18
1777,31,15,12,15,7,10,6,14,20,24,17,17
1778,16,18,16,9,5,7,8,14,7,19,19,14
1779,18,16,16,7,8,6,11,7,17,15,23,20
1780,20,21,16,12,12,10,12,9,24,17,23,16
1781,16,16,13,13,8,8,11,17,12,10,23,18
1782,23,10,25,8,8,10,7,18,9,11,13,20
1783,19,12,18,9,9,6,7,12,18,21,25,9
1784,16,23,17,18,14,7,14,10,8,15,13,15
1785,13,11,17,8,7,5,6,9,8,19,14,9
1786,10,16,16,11,11,13,13,14,12,21,20,19
1787,23,23,15,16,4,12,7,7,8,11,8,8
1788,16,15,17,3,5,4,6,9,9,7,7,13
1789,9,8,7,3,6,3,5,10,12,9,9,9
1790,10,9,7,7,4,3,2,7,6,11,14,5
1791,7,6,6,0,5,2,4,7,11,19,13,11
1792,10,10,4,4,7,2,7,6,8,9,8,11
1793,16,20,10,4,6,3,9,9,7,12,12,14
1794,18,17,14,8,7,4,5,9,7,10,9,10
1795,13,14,7,8,3,1,4,3,8,4,8,8
1796,13,7,4,6,6,4,7,9,6,11,12,11
1797,8,21,16,1,4,2,13,5,13,5,9,11
1798,7,10,11,4,8,4,3,7,8,8,8,7
1799,8,9,4,5,10,6,7,5,11,11,7,18
1800,10,14,13,3,7,4,3,10,5,14,13,15
1801,10,6,6,6,7,3,6,6,5,7,8,21
1802,13,11,16,8,5,8,4,7,16,16,13,18
1803,8,17,9,7,1,6,3,6,6,8,3,8
1804,11,6,7,11,6,3,5,7,7,13,16,14
1805,10,12,13,6,5,6,1,6,6,12,7,3
1806,5,8,2,3,1,0,3,3,6,13,7,8
1807,19,7,7,2,4,2,7,12,10,8,9,12
1808,16,15,7,5,7,4,5,5,8,9,8,6
1809,8,10,6,15,7,6,4,5,4,3,4,5
1810,8,7,15,8,5,0,2,5,10,10,9,9
1811,13,12,9,9,7,11,5,8,11,17,7,9
1812,13,10,10,6,3,3,3,10,9,9,13,6
1813,10,12,14,7,3,6,2,6,8,12,16,12
1814,12,9,7,7,11,6,5,3,11,6,12,12
1815,10,6,4,2,5,1,4,9,10,15,14,10
1816,10,9,6,8,3,3,8,11,9,10,14,6
1817,6,18,7,7,5,3,4,2,7,7,8,7
1818,4,5,3,1,2,3,4,5,9,10,10,11
