Year,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1819,13,8,18,9,8,7,6,12,15,12,10,15
1820,15,4,10,3,3,0,6,2,9,8,3,14
1821,12,19,12,9,14,8,6,10,8,8,9,13
1822,8,13,8,3,9,2,3,6,9,5,10,10
1823,10,15,12,4,11,4,5,5,14,6,7,10
1824,6,11,5,6,4,9,12,12,10,10,23,14
1825,20,19,12,8,7,4,7,11,7,14,10,24
1826,7,20,10,9,6,0,2,5,7,12,13,12
1827,16,15,11,8,8,1,5,1,7,5,16,9
1828,17,13,11,3,4,4,3,9,14,7,14,14
1829,12,7,8,2,2,1,4,2,12,7,16,11
1830,17,9,4,8,3,1,2,5,10,9,11,13
1831,13,10,14,4,7,7,7,15,9,7,7,12
1832,6,11,5,3,4,4,5,4,8,10,19,10
1833,11,7,9,5,8,4,8,6,12,12,11,10
1834,14,19,18,7,7,7,4,6,6,9,16,11
1835,19,11,12,12,1,8,6,4,6,4,6,6
1836,3,1,2,6,8,9,4,17,8,18,18,16
1837,24,19,14,9,6,4,4,9,5,18,11,9
1838,7,21,9,6,4,6,3,8,5,6,11,12
1839,23,8,14,7,7,5,5,10,15,11,15,15
1840,7,22,12,5,11,5,6,11,8,15,16,7
1841,12,12,15,5,2,3,6,9,4,5,16,12
1842,13,5,10,7,7,7,10,16,14,17,10,13
1843,10,12,6,10,9,7,6,8,12,14,10,13
1844,19,14,11,5,9,12,3,4,13,9,10,14
1845,16,20,15,6,5,1,10,8,6,6,13,20
1846,12,11,11,8,5,3,7,5,5,7,10,6
1847,14,16,8,4,4,8,9,4,5,6,10,3
1848,5,5,2,2,0,4,2,3,6,7,19,16
1849,14,12,15,6,10,5,15,11,10,17,10,7
1850,14,8,11,4,3,11,9,5,11,9,14,13
1851,12,11,11,6,6,9,3,8,8,8,17,4
1852,22,20,12,10,10,6,6,9,16,11,16,15
1853,13,13,14,6,2,2,5,7,10,8,8,8
1854,10,9,9,9,5,4,4,3,9,12,7,6
1855,9,12,8,6,1,2,9,7,8,5,10,8
1856,9,14,10,4,10,7,7,5,13,9,13,15
1857,13,10,9,9,2,3,11,6,10,10,17,10
1858,19,15,8,4,3,4,6,7,4,5,5,6
1859,9,10,6,6,11,6,8,14,6,10,11,10
1860,9,9,10,3,3,7,5,9,7,6,10,11
1861,12,10,16,5,3,1,4,5,5,18,13,10
1862,12,10,10,5,5,6,6,8,12,8,12,3
1863,15,21,14,9,11,7,4,7,8,11,16,7
1864,9,12,7,5,3,6,10,4,6,9,9,4
1865,7,6,7,5,6,6,8,12,13,19,8,12
1866,15,11,10,3,3,9,8,9,19,13,6,12
1867,17,14,14,5,7,1,6,5,10,5,5,8
1868,4,5,6,4,7,6,10,10,15,14,19,18
1869,13,13,14,12,8,4,7,5,11,12,15,11
1870,14,13,10,10,3,5,10,12,9,13,13,9
1871,11,9,10,7,3,2,3,10,16,11,18,15
1872,14,9,16,6,8,4,6,7,11,11,14,11
1873,14,16,16,13,8,9,8,14,10,14,11,15
1874,23,14,11,8,8,6,13,1,8,11,7,11
1875,6,14,7,4,5,3,14,9,14,20,12,14
1876,13,16,20,9,6,5,13,13,11,12,6,10
1877,11,15,8,8,5,3,3,11,12,11,10,10
1878,10,8,20,8,14,4,8,11,19,11,9,8
1879,8,7,22,9,8,2,8,13,11,8,9,12
1880,13,16,7,4,3,11,12,11,6,7,12,11
1881,13,11,10,1,6,5,4,12,11,8,11,8
1882,14,12,14,7,2,16,14,9,12,13,13,9
1883,17,8,10,6,7,11,10,11,13,15,11,20
1884,15,18,13,10,6,3,11,13,11,8,13,12
1885,9,14,12,9,14,6,9,8,14,11,14,19
1886,17,19,13,7,7,15,14,7,9,11,8,7
1887,12,5,10,7,15,7,9,14,9,11,15,8
1888,15,13,16,10,5,7,10,8,15,14,10,9
1889,11,7,12,15,4,8,11,9,9,15,20,8
1890,13,16,9,4,12,11,7,10,11,8,4,6
1891,8,8,5,4,2,7,8,9,17,17,10,19
1892,16,9,10,6,9,10,8,7,7,10,6,10
1893,11,8,4,14,5,10,7,10,16,9,10,10
1894,17,9,15,14,10,4,12,16,15,14,11,17
1895,17,8,6,5,8,9,9,7,14,12,6,15
1896,14,14,6,7,9,5,15,13,10,14,13,15
1897,19,9,15,11,14,11,14,16,14,8,17,8
1898,11,15,19,9,4,8,6,9,10,10,14,15
1899,9,6,13,11,10,7,11,11,7,15,12,17
1900,14,17,12,7,13,4,15,11,19,13,13,12
