year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1840,-3.6,-0.3,0.0,9.35,13.45,16.75,18.7,17.35,15.7,6.95,5.85,-9.25
1841,-1.7,-3.9,4.75,12.3,17.7,17.7,19.6,18.95,15.75,12.3,4.45,2.95
1842,-4.35,-6.15,4.75,7.85,14.75,17.55,19.4,21.55,15.1,6.95,2.25,1.4
1843,0.3,6.05,2.95,9.9,13.0,15.5,18.75,19.0,13.3,9.4,3.15,2.95
1844,-2.65,-0.9,2.6,10.15,14.85,18.1,17.45,16.55,15.45,11.15,6.25,-3.6
1845,0.6,-3.75,-0.75,10.6,12.2,19.2,19.9,17.0,13.7,10.6,5.35,2.1
1846,-0.35,2.25,6.6,11.3,15.55,19.05,21.7,20.55,16.05,13.45,1.85,-1.75
1847,-4.25,-0.65,2.9,8.95,17.15,14.95,19.5,20.25,12.8,8.2,2.6,0.15
1848,-7.25,1.95,5.85,12.35,14.5,20.45,20.15,19.2,14.05,11.8,3.8,-0.9
1849,-3.6,3.4,3.05,9.1,14.95,19.2,18.75,17.15,13.7,9.65,3.0,-2.35
1850,-5.85,2.5,1.4,11.2,15.35,18.9,18.95,19.9,13.05,9.2,5.3,0.55
1851,-1.45,0.55,5.3,11.35,11.85,17.2,18.1,18.2,13.0,12.7,1.2,-0.35
1852,0.5,2.3,2.0,7.1,15.65,18.8,20.8,19.2,15.6,8.2,6.65,2.75
1853,0.75,-0.3,1.65,6.35,15.0,18.35,21.0,19.6,14.85,10.6,3.1,-4.45
1854,-1.6,-0.35,3.45,9.35,16.3,17.6,20.2,18.1,14.3,10.15,1.85,2.4
1855,-2.75,-3.2,4.35,8.7,14.35,19.35,20.25,20.0,14.5,12.8,4.25,-5.85
1856,-0.4,1.55,1.6,11.45,14.55,19.65,18.0,20.45,14.4,10.5,0.25,-1.4
1857,-1.35,-2.95,3.0,10.5,15.45,18.1,21.6,21.15,16.0,13.0,2.15,0.65
1858,-4.1,-7.3,1.9,8.75,14.1,20.55,20.9,18.9,17.3,12.55,-0.05,0.1
1859,-1.5,2.4,6.75,9.9,14.9,18.4,23.45,21.9,14.4,11.3,2.95,-3.05
1860,0.8,-0.85,2.55,10.0,16.05,18.8,17.7,19.2,15.95,8.25,2.6,-0.95
