# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-08-12T20:15:30Z
# station: Hohenpeißenberg
# abbr: HOP
# country_code: DE
# longitude: 11.0200
# latitude: 47.8000
# height: 986.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1800;34;11;49;18;271;158;74;108;120;100;140;21;338;340;360;157;749;489;1104
1801;64;72;92;83;168;170;185;83;180;52;99;110;343;438;331;241;869;435;1358
1802;45;86;43;64;120;60;166;67;45;41;128;46;227;293;214;154;522;403;911
1803;60;48;80;72;164;280;170;79;51;100;80;96;316;529;231;219;816;460;1280
1804;45;78;61;100;110;132;188;100;123;100;140;79;271;420;363;190;753;464;1256
1805;41;70;34;68;117;146;180;161;152;122;15;58;219;487;289;176;824;362;1164
1806;40;78;49;68;70;114;186;201;127;90;87;43;187;501;304;164;766;411;1153
1807;41;80;70;58;75;150;127;219;190;44;55;79;203;496;289;161;819;290;1188
1808;28;54;30;80;140;280;166;211;216;44;67;53;250;657;327;146;1093;324;1369
1809;51;42;67;101;140;88;225;219;130;44;78;79;308;532;252;183;903;407;1264
1810;50;54;102;55;199;92;154;171;73;40;100;85;356;417;213;172;744;322;1175
1811;28;59;10;50;70;274;68;178;50;77;26;55;130;520;153;123;690;279;945
1812;26;42;53;48;89;180;200;99;80;105;68;34;190;479;253;87;696;321;1024
1813;23;30;61;35;151;190;266;180;112;171;67;21;247;636;350;125;934;413;1307
1814;80;24;50;80;89;220;150;230;68;61;67;50;219;600;196;137;837;332;1169
1815;22;65;67;26;70;190;209;180;68;77;55;75;163;579;200;205;743;375;1104
1816;65;65;38;37;150;118;221;117;180;41;90;70;225;456;311;161;823;389;1192
1817;55;36;97;41;138;146;293;225;147;100;26;55;276;664;273;113;990;309;1359
1818;28;30;70;60;124;136;101;150;140;84;85;50;254;387;309;249;711;478;1058
1819;109;90;60;60;70;179;148;140;104;130;80;140;190;467;314;253;701;578;1310
1820;90;23;115;77;150;140;180;121;126;115;53;70;342;441;294;130;794;378;1260
1821;40;20;80;105;120;99;186;274;140;34;40;60;305;559;214;115;924;234;1198
1822;45;10;45;47;160;90;200;100;89;45;65;17;252;390;199;147;686;287;913
1823;60;70;30;47;150;145;250;197;140;47;38;76;227;592;225;144;929;299;1250
1824;41;27;70;75;165;107;194;197;120;200;133;34;310;498;453;109;858;492;1363
1825;45;30;50;32;65;119;198;210;189;85;120;106;147;527;394;155;813;396;1249
1826;9;40;36;36;100;250;165;160;89;87;100;40;172;575;276;155;800;412;1112
1827;85;30;70;75;115;300;81;240;89;90;120;60;260;621;299;135;900;410;1355
1828;30;45;65;40;40;135;150;173;107;70;32;42;145;458;209;103;645;256;929
1829;40;21;51;100;21;220;155;186;120;64;70;23;172;561;254;114;802;299;1071
1830;20;71;51;110;110;240;170;231;200;35;70;60;271;641;305;162;1061;359;1368
1831;52;50;92;60;123;276;229;210;121;15;99;40;275;715;235;125;1019;280;1367
1832;45;40;41;42;91;198;140;109;35;38;77;89;174;447;150;154;615;319;945
1833;20;45;50;110;26;156;278;221;297;43;60;100;186;655;400;232;1088;423;1406
1834;106;26;88;30;57;135;206;153;64;88;27;52;175;494;179;172;645;346;1032
1835;60;60;59;63;123;67;85;226;77;85;70;25;245;378;232;129;641;324;1000
1836;52;52;40;63;80;67;49;177;130;80;108;76;183;293;318;103;566;356;974
1837;27;0;65;101;60;106;282;139;150;81;134;52;226;527;365;112;838;405;1197
1838;26;34;78;50;105;203;108;102;115;45;75;45;233;413;235;158;683;333;986
1839;64;49;55;65;102;154;180;130;128;25;50;82;222;464;203;173;759;272;1084
1840;61;30;24;2;119;175;293;153;180;79;107;25;145;621;366;110;922;337;1248
1841;55;30;41;40;95;209;183;156;165;74;50;60;176;548;289;103;848;297;1158
1842;35;8;70;23;112;26;145;107;97;76;75;18;205;278;248;135;510;322;792
