# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-07-09T09:10:47Z
# station: Augsburg
# abbr: AUG
# country_code: DE
# longitude: 10.9500
# latitude: 48.4300
# height: 463.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;53;57;46;26;59;93;71;109;70;46;38;67;131;273;154;116;428;240;735
1861;47;2;40;20;88;114;108;49;90;62;39;25;148;271;191;142;469;263;684
1862;106;11;20;41;82;81;71;118;56;96;20;44;143;270;172;60;449;199;746
1863;12;4;23;27;36;105;55;34;80;22;25;55;86;194;127;74;337;161;478
1864;7;12;40;26;92;192;100;44;94;13;69;7;158;336;176;70;548;177;696
1865;33;30;25;2;65;66;135;119;0;39;48;1;92;320;87;68;387;197;563
1866;20;47;42;32;61;84;105;153;51;3;59;57;135;342;113;170;486;308;714
1867;75;38;76;71;111;64;78;83;54;90;26;54;258;225;170;121;461;289;820
1868;49;18;52;47;69;72;158;72;28;49;32;62;168;302;109;109;446;232;708
1869;24;23;42;37;101;89;81;127;59;46;78;38;180;297;183;54;494;204;745
1870;11;5;26;13;23;68;58;160;94;83;17;39;62;286;194;121;416;244;597
1871;32;50;23;83;36;97;87;117;35;56;19;17;142;301;110;67;455;170;652
1872;22;28;28;31;108;202;72;132;24;37;66;60;167;406;127;121;569;272;810
1873;9;52;48;58;99;162;112;67;78;64;55;10;205;341;197;57;576;216;814
1874;25;22;40;46;91;99;126;91;35;20;50;69;177;316;105;144;488;257;714
1875;48;27;43;11;54;128;139;89;62;90;160;47;108;356;312;161;483;542;898
1876;24;90;131;34;53;148;46;84;90;10;61;28;218;278;161;144;455;294;799
1877;49;67;79;80;56;66;153;117;72;25;60;64;215;336;157;177;544;380;888
1878;94;19;118;54;96;46;124;150;100;45;26;26;268;320;171;68;570;147;898
1879;13;29;8;41;54;129;126;105;80;43;62;36;103;360;185;102;535;231;726
1880;39;27;24;56;61;85;168;123;76;173;42;184;141;376;291;237;569;504;1058
1881;21;32;52;58;97;59;81;120;131;71;12;18;207;260;214;42;546;147;752
1882;14;10;22;43;53;89;158;101;114;70;124;110;118;348;308;175;558;401;908
1883;29;36;32;29;77;114;136;41;84;54;53;53;138;291;191;111;481;238;738
1884;37;21;20;77;37;90;82;57;34;85;23;72;134;229;142;117;377;296;635
1885;12;33;71;13;88;45;109;34;136;74;30;100;172;188;240;148;425;300;745
1886;30;18;48;37;72;169;112;137;28;29;24;108;157;418;81;127;555;235;812
1887;4;15;55;21;98;63;97;72;43;38;56;72;174;232;137;132;394;316;634
1888;25;35;90;102;27;90;142;128;86;84;67;8;219;360;237;92;575;276;884
1889;15;69;33;65;72;90;129;65;89;65;49;29;170;284;203;98;510;240;770
1890;61;8;28;26;99;86;132;133;112;96;43;5;153;351;251;48;588;223;829
1891;34;9;36;32;64;104;128;79;54;22;67;93;132;311;143;229;461;340;722
1892;85;51;22;50;32;102;79;39;131;96;11;22;104;220;238;123;433;251;720
1893;40;61;21;1;58;70;116;41;63;39;93;11;80;227;195;49;349;208;614
1894;16;22;27;45;90;77;78;84;87;116;25;41;162;239;228;101;461;299;708
1895;47;13;57;55;80;72;89;97;14;55;66;79;192;258;135;136;407;341;724
1896;50;7;84;89;87;141;114;153;134;57;23;29;260;408;214;128;718;280;968
1897;23;76;72;55;86;86;107;197;155;18;21;29;213;390;194;88;686;166;925
1898;20;39;39;53;86;115;79;74;54;65;67;36;178;268;186;138;461;285;727
1899;83;19;15;106;63;70;65;64;167;34;21;55;184;199;222;253;535;395;762
1900;137;61;87;33;63;108;65;37;35;57;44;112;183;210;136;163;341;305;839
