# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-07-09T09:00:07Z
# station: Linz-Stadt
# abbr: LIN
# country_code: AT
# longitude: 14.2860
# latitude: 48.2970
# height: 263.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;-5;-31;6;78;139;167;151;166;135;68;-1;-15;74;161;67;-22;139;8;72
1861;-63;11;46;67;115;178;182;192;137;104;33;-25;76;184;91;-24;145;22;81
1862;-40;-6;63;112;154;163;189;167;150;111;43;-3;110;173;101;9;156;38;92
1863;16;14;49;93;153;162;171;191;143;104;41;15;98;175;96;-17;152;23;96
1864;-59;-8;47;52;111;168;163;150;133;70;16;-42;70;160;73;-37;130;-6;67
1865;-14;-56;-12;117;174;150;216;168;157;90;38;-10;93;178;95;10;164;33;85
1866;6;33;41;111;115;189;168;158;158;75;31;1;89;172;88;3;150;24;91
1867;-20;29;28;88;133;163;171;192;152;75;6;-28;83;175;78;-8;150;16;82
1868;-21;26;36;81;184;187;186;195;172;103;16;25;100;189;97;11;168;28;99
1869;-42;50;18;108;159;142;198;161;151;58;31;-7;95;167;80;-27;153;3;86
1870;-24;-51;9;77;156;163;196;160;120;79;34;-49;81;173;78;-41;145;6;73
1871;-59;-14;46;91;104;143;188;181;153;59;7;-93;80;171;73;-40;143;0;67
1872;-25;-3;55;108;153;163;191;163;150;113;47;20;105;172;103;4;155;40;95
1873;0;-9;66;81;99;167;205;205;133;105;38;-6;82;192;92;-12;148;23;90
1874;-18;-12;28;105;91;170;210;158;162;92;-4;-28;75;179;83;-28;149;1;80
1875;-3;-52;2;82;148;188;177;190;128;60;19;-34;77;185;69;-30;152;6;75
1876;-49;-6;43;110;94;175;180;187;128;110;-5;9;82;181;78;11;146;27;81
1877;1;22;23;69;105;189;172;188;105;64;35;-5;66;183;68;-10;138;16;81
1878;-35;9;30;97;139;169;164;171;145;94;25;-35;89;168;88;-16;148;16;81
1879;-25;12;27;76;110;172;153;186;147;72;-9;-98;71;170;70;-52;141;-8;69
1880;-40;-17;42;106;118;160;195;161;143;86;44;28;89;172;91;-11;147;22;86
1881;-55;-7;36;64;125;159;200;178;125;56;28;3;75;179;70;1;142;27;76
1882;-8;8;73;88;137;150;176;149;135;95;43;6;99;158;91;4;139;24;88
1883;-12;17;-3;69;140;171;177;171;145;83;32;-3;69;173;87;11;146;34;82
1884;15;20;56;77;147;131;188;174;144;77;17;8;93;164;79;-6;144;20;88
1885;-43;18;42;119;119;190;190;168;143;82;33;-20;93;183;86;-26;155;9;87
1886;-43;-14;13;109;145;154;187;180;167;103;39;1;89;174;103;-25;157;14;87
1887;-49;-27;14;91;114;164;212;175;143;56;29;-27;73;184;76;-31;150;3;75
1888;-46;-20;23;73;151;174;161;161;138;64;10;-8;82;165;71;-20;143;3;73
1889;-31;-22;4;81;179;197;179;163;114;97;14;-36;88;180;75;-17;152;20;78
1890;8;-23;57;87;151;146;172;185;127;69;26;-45;98;168;74;-44;145;1;80
1891;-59;-27;40;64;159;169;176;164;149;105;13;1;88;170;89;0;147;23;80
1892;-13;13;21;95;135;175;178;207;151;78;17;-36;84;187;82;-35;157;6;85
1893;-82;13;48;103;127;165;187;183;140;99;18;-17;93;178;86;-16;151;20;82
1894;-47;16;53;122;133;152;192;170;123;87;38;-11;103;171;83;-41;149;3;86
1895;-45;-68;14;93;128;165;200;175;167;76;45;-6;78;180;96;-15;155;23;79
1896;-32;-8;61;64;116;171;185;151;138;96;21;-7;80;169;85;-2;138;29;80
1897;-19;20;63;87;112;180;180;178;137;70;10;-7;87;179;72;-1;146;21;84
1898;-3;7;47;93;140;155;161;185;140;94;50;0;93;167;95;5;146;32;89
1899;8;7;32;82;120;157;172;167;127;73;46;-55;78;165;82;-16;138;13;78
1900;-12;20;8;65;115;168;193;170;150;88;50;7;63;177;96;-33;144;12;85
