Year,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1773,10.6666666667,10.4166666667,10.4166666667,9.83333333333,9.91666666667,10.1666666667,10.0,10.3333333333,10.75,11.0833333333,11.25,11.5833333333
1774,12.4166666667,12.5833333333,13.25,14.0833333333,13.9166666667,14.25,15.1666666667,14.75,15.3333333333,15.5,15.5,15.5
1775,14.9166666667,14.9166666667,14.1666666667,13.3333333333,13.5,13.0833333333,12.5,12.1666666667,11.9166666667,11.3333333333,11.0,10.1666666667
1776,9.83333333333,9.5,9.16666666667,9.25,9.08333333333,10.0,10.4166666667,11.9166666667,11.75,12.0,12.5,12.5833333333
1777,13.1666666667,13.1666666667,14.0833333333,15.0,16.1666666667,15.75,15.6666666667,14.4166666667,14.6666666667,15.0,14.5,14.3333333333
1778,14.0833333333,14.25,14.25,13.1666666667,12.75,12.9166666667,12.6666666667,12.8333333333,12.6666666667,12.6666666667,12.5,12.75
1779,12.6666666667,12.9166666667,12.3333333333,13.1666666667,12.8333333333,13.1666666667,13.6666666667,13.8333333333,14.25,14.25,14.6666666667,15.0
1780,15.3333333333,15.4166666667,15.5833333333,16.1666666667,16.3333333333,16.3333333333,16.0,15.6666666667,15.25,15.0,15.0833333333,14.75
1781,14.5833333333,14.5,15.1666666667,14.1666666667,13.5833333333,13.5833333333,13.75,14.3333333333,13.8333333333,14.8333333333,14.4166666667,14.4166666667
1782,14.5833333333,14.25,14.3333333333,14.0833333333,14.1666666667,13.3333333333,13.5,13.1666666667,13.3333333333,12.75,12.8333333333,12.9166666667
1783,12.5833333333,12.5833333333,12.0833333333,12.8333333333,13.6666666667,14.6666666667,13.75,13.5,14.4166666667,14.3333333333,15.0833333333,15.5
1784,15.5833333333,16.1666666667,16.0,15.1666666667,14.6666666667,13.6666666667,14.1666666667,13.9166666667,12.9166666667,12.9166666667,12.0833333333,11.5
1785,11.3333333333,10.6666666667,10.5833333333,10.5833333333,10.9166666667,11.0,10.5,10.25,10.6666666667,10.5833333333,10.8333333333,11.1666666667
1786,11.8333333333,12.4166666667,12.8333333333,13.1666666667,13.3333333333,13.8333333333,14.6666666667,15.75,16.3333333333,16.25,16.6666666667,16.0833333333
1787,16.0,15.5,14.9166666667,14.5833333333,13.75,12.75,11.8333333333,11.25,10.5833333333,10.75,9.66666666667,9.75
1788,9.08333333333,9.0,9.16666666667,9.25,8.91666666667,8.83333333333,9.25,8.66666666667,8.08333333333,7.25,7.25,7.33333333333
1789,7.25,7.16666666667,7.25,7.5,7.66666666667,7.83333333333,7.5,7.58333333333,7.66666666667,7.66666666667,8.0,7.83333333333
1790,7.83333333333,7.58333333333,7.33333333333,6.83333333333,7.0,7.41666666667,7.08333333333,6.83333333333,6.58333333333,6.5,5.91666666667,6.0
1791,5.91666666667,6.08333333333,6.08333333333,6.5,7.16666666667,7.08333333333,7.58333333333,7.83333333333,8.16666666667,8.0,8.33333333333,8.5
1792,8.5,8.75,8.66666666667,8.41666666667,7.58333333333,7.16666666667,7.16666666667,7.66666666667,8.5,9.0,9.0,8.91666666667
1793,9.0,9.16666666667,9.41666666667,9.33333333333,9.58333333333,9.91666666667,10.1666666667,10.3333333333,10.0833333333,10.4166666667,10.75,10.8333333333
1794,10.9166666667,10.5833333333,10.5833333333,10.5833333333,10.4166666667,10.1666666667,9.83333333333,9.41666666667,9.16666666667,8.58333333333,8.58333333333,8.25
1795,8.0,7.91666666667,7.41666666667,7.5,7.0,6.91666666667,6.75,6.75,6.16666666667,5.91666666667,5.75,6.0
1796,6.25,6.5,7.0,6.83333333333,7.41666666667,7.75,8.0,7.58333333333,8.75,9.75,9.33333333333,9.16666666667
1797,9.0,9.5,9.16666666667,9.75,9.25,9.0,9.0,8.91666666667,8.0,7.58333333333,7.83333333333,8.16666666667
1798,8.33333333333,7.5,7.66666666667,7.25,7.5,7.41666666667,7.08333333333,7.16666666667,7.08333333333,6.5,6.58333333333,6.75
1799,6.91666666667,7.25,7.08333333333,7.33333333333,7.58333333333,7.5,8.41666666667,8.58333333333,9.0,9.75,9.58333333333,9.33333333333
1800,9.16666666667,8.83333333333,9.25,8.75,9.0,9.5,9.25,9.25,8.58333333333,8.0,8.25,8.25
1801,8.16666666667,8.41666666667,8.08333333333,8.08333333333,7.5,7.08333333333,7.58333333333,7.83333333333,8.25,9.08333333333,9.25,9.08333333333
1802,9.5,9.33333333333,9.41666666667,10.3333333333,11.0833333333,11.5,11.25,10.8333333333,11.3333333333,10.75,10.6666666667,10.3333333333
